payment_record_id,loan_id,snapshot_date,days_past_due,delinquent_flag
P0000174,L000122,2026-01-15,2,0
P0000175,L000122,2026-02-14,0,0
P0000176,L000123,2025-01-25,14,0
P0000177,L000123,2025-02-24,0,0
P0000178,L000127,2025-05-27,0,0
P0000179,L000130,2022-02-04,2,0
P0000180,L000131,2023-01-21,13,0
P0000181,L000132,2023-03-15,16,0
P0000182,L000132,2023-04-14,34,0
P0000183,L000132,2023-05-14,67,0
P0000184,L000133,2024-03-14,21,0
P0000185,L000133,2024-04-13,42,0
P0000186,L000133,2024-05-13,60,0
P0000187,L000133,2024-06-12,98,1
P0000188,L000133,2024-07-12,113,1
P0000189,L000133,2024-08-11,139,1
P0000190,L000133,2024-09-10,180,1
P0000191,L000134,2022-02-10,3,0
P0000192,L000134,2022-03-12,0,0
P0000193,L000134,2022-04-11,1,0
P0000194,L000136,2022-07-09,16,0
P0000195,L000136,2022-08-08,56,0
P0000196,L000136,2022-09-07,88,0
P0000197,L000136,2022-10-07,103,1
P0000198,L000136,2022-11-06,120,1
P0000199,L000136,2022-12-06,139,1
P0000200,L000136,2023-01-05,177,1
P0000201,L000137,2023-12-22,4,0
P0000202,L000137,2024-01-21,1,0
P0000203,L000140,2025-02-01,2,0
P0000204,L000141,2023-09-18,7,0
P0000205,L000142,2021-09-30,44,0
P0000206,L000142,2021-10-30,62,0
P0000207,L000142,2021-11-29,95,1
P0000208,L000142,2021-12-29,116,1
P0000209,L000142,2022-01-28,152,1
P0000210,L000144,2022-11-07,38,0
P0000211,L000144,2022-12-07,70,0
P0000212,L000144,2023-01-06,85,0
P0000213,L000144,2023-02-05,119,1
P0000214,L000144,2023-03-07,150,1
P0000215,L000144,2023-04-06,180,1
P0000216,L000144,2023-05-06,180,1
P0000217,L000145,2025-09-11,0,0
P0000218,L000146,2025-09-09,0,0
P0000219,L000149,2024-08-29,0,0
P0000220,L000149,2024-09-28,12,0
P0000221,L000150,2024-03-21,0,0
P0000222,L000150,2024-04-20,0,0
P0000223,L000151,2022-05-03,0,0
P0000224,L000151,2022-06-02,14,0
P0000225,L000154,2025-12-31,0,0
P0000226,L000155,2022-01-02,24,0
P0000227,L000155,2022-02-01,49,0
P0000228,L000155,2022-03-03,71,0
P0000229,L000155,2022-04-02,101,1
P0000230,L000156,2025-11-06,18,0
P0000231,L000157,2023-05-14,0,0
P0000232,L000158,2022-07-15,4,0
P0000233,L000159,2021-04-18,44,0
P0000234,L000159,2021-05-18,80,0
P0000235,L000159,2021-06-17,114,1
P0000236,L000159,2021-07-17,158,1
P0000237,L000159,2021-08-16,180,1
P0000238,L000159,2021-09-15,180,1
P0000239,L000159,2021-10-15,180,1
P0000240,L000159,2021-11-14,180,1
P0000241,L000160,2025-09-09,33,0
P0000242,L000160,2025-10-09,56,0
P0000243,L000160,2025-11-08,95,1
P0000244,L000160,2025-12-08,120,1
P0000245,L000160,2026-01-07,142,1
P0000246,L000160,2026-02-06,158,1
P0000247,L000160,2026-03-08,180,1
P0000248,L000161,2022-12-18,7,0
P0000249,L000161,2023-01-17,0,0
P0000250,L000161,2023-02-16,0,0
P0000251,L000162,2024-01-27,0,0
P0000252,L000163,2023-08-19,0,0
P0000253,L000163,2023-09-18,8,0
P0000254,L000164,2024-07-01,16,0
P0000255,L000164,2024-07-31,0,0
P0000256,L000165,2021-05-19,0,0
P0000257,L000169,2023-07-22,16,0
P0000258,L000170,2024-08-02,18,0
P0000259,L000170,2024-09-01,0,0
P0000260,L000172,2021-11-03,17,0
P0000261,L000172,2021-12-03,0,0
P0000262,L000173,2024-05-02,19,0
P0000263,L000173,2024-06-01,15,0
P0000264,L000178,2024-09-16,6,0
P0000265,L000178,2024-10-16,0,0
P0000266,L000178,2024-11-15,15,0
P0000267,L000181,2022-03-29,29,0
P0000268,L000181,2022-04-28,70,0
P0000269,L000181,2022-05-28,105,1
P0000270,L000181,2022-06-27,144,1
P0000271,L000181,2022-07-27,180,1
P0000272,L000181,2022-08-26,180,1
P0000273,L000181,2022-09-25,180,1
P0000274,L000183,2022-09-07,0,0
P0000275,L000183,2022-10-07,9,0
P0000276,L000183,2022-11-06,0,0
P0000277,L000185,2021-06-27,19,0
P0000278,L000185,2021-07-27,44,0
P0000279,L000185,2021-08-26,80,0
P0000280,L000186,2021-11-30,0,0
P0000281,L000189,2022-10-21,3,0
P0000282,L000189,2022-11-20,12,0
P0000283,L000190,2023-06-11,1,0
P0000284,L000190,2023-07-11,12,0
P0000285,L000190,2023-08-10,11,0
P0000286,L000192,2022-05-28,11,0
P0000287,L000192,2022-06-27,2,0
P0000288,L000192,2022-07-27,0,0
P0000289,L000193,2023-10-02,27,0
P0000290,L000193,2023-11-01,47,0
P0000291,L000193,2023-12-01,63,0
P0000292,L000193,2023-12-31,92,1
P0000293,L000193,2024-01-30,122,1
P0000294,L000193,2024-02-29,149,1
P0000295,L000193,2024-03-30,177,1
P0000296,L000195,2025-08-09,1,0
P0000297,L000195,2025-09-08,5,0
P0000298,L000198,2023-06-05,15,0
P0000299,L000198,2023-07-05,0,0
P0000300,L000200,2021-09-17,0,0
P0000301,L000202,2022-06-12,32,0
P0000302,L000202,2022-07-12,62,0
P0000303,L000202,2022-08-11,79,0
P0000304,L000204,2021-02-14,25,0
P0000305,L000204,2021-03-16,60,0
P0000306,L000204,2021-04-15,98,1
P0000307,L000204,2021-05-15,123,1
P0000308,L000204,2021-06-14,155,1
P0000309,L000204,2021-07-14,180,1
P0000310,L000204,2021-08-13,180,1
P0000311,L000205,2025-03-25,6,0
P0000312,L000206,2022-05-13,0,0
P0000313,L000206,2022-06-12,13,0
P0000314,L000206,2022-07-12,16,0
P0000315,L000210,2023-07-26,0,0
P0000316,L000210,2023-08-25,5,0
P0000317,L000212,2021-06-07,16,0
P0000318,L000212,2021-07-07,13,0
P0000319,L000212,2021-08-06,10,0
P0000320,L000213,2021-02-10,12,0
P0000321,L000213,2021-03-12,12,0
P0000322,L000214,2025-12-28,18,0
P0000323,L000214,2026-01-27,60,0
P0000324,L000214,2026-02-26,95,1
P0000325,L000214,2026-03-28,119,1
P0000326,L000214,2026-04-27,141,1
P0000327,L000214,2026-05-27,163,1
P0000328,L000214,2026-06-26,180,1
P0000329,L000214,2026-07-26,180,1
P0000330,L000216,2022-09-14,0,0
P0000331,L000218,2023-07-03,7,0
P0000332,L000219,2025-05-09,10,0
P0000333,L000222,2024-03-31,12,0
P0000334,L000223,2022-04-07,0,0
P0000335,L000223,2022-05-07,6,0
P0000336,L000228,2025-09-17,0,0
P0000337,L000228,2025-10-17,7,0
P0000338,L000228,2025-11-16,14,0
P0000339,L000230,2025-06-28,42,0
P0000340,L000230,2025-07-28,69,0
P0000341,L000230,2025-08-27,106,1
P0000342,L000230,2025-09-26,145,1
P0000343,L000231,2025-01-19,20,0
P0000344,L000231,2025-02-18,45,0
P0000345,L000231,2025-03-20,79,0
P0000346,L000231,2025-04-19,104,1
P0000347,L000231,2025-05-19,122,1
P0000348,L000231,2025-06-18,160,1
P0000349,L000231,2025-07-18,177,1
P0000350,L000231,2025-08-17,180,1
P0000351,L000232,2025-05-12,22,0
P0000352,L000232,2025-06-11,41,0
P0000353,L000232,2025-07-11,82,0
P0000354,L000232,2025-08-10,100,1
P0000355,L000232,2025-09-09,136,1
P0000356,L000232,2025-10-09,164,1
P0000357,L000232,2025-11-08,180,1
P0000358,L000233,2024-08-09,0,0
P0000359,L000235,2021-07-29,0,0
P0000360,L000236,2025-02-24,9,0
P0000361,L000236,2025-03-26,0,0
P0000362,L000236,2025-04-25,2,0
P0000363,L000237,2021-10-19,14,0
P0000364,L000237,2021-11-18,0,0
P0000365,L000238,2022-07-28,7,0
P0000366,L000238,2022-08-27,15,0
P0000367,L000238,2022-09-26,15,0
P0000368,L000241,2024-02-21,43,0
P0000369,L000241,2024-03-22,67,0
P0000370,L000241,2024-04-21,97,1
P0000371,L000241,2024-05-21,137,1
P0000372,L000243,2021-07-07,33,0
P0000373,L000243,2021-08-06,72,0
P0000374,L000243,2021-09-05,104,1
P0000375,L000243,2021-10-05,148,1
P0000376,L000243,2021-11-04,171,1
P0000377,L000243,2021-12-04,180,1
P0000378,L000245,2024-01-23,9,0
P0000379,L000245,2024-02-22,17,0
P0000380,L000247,2021-10-29,4,0
P0000381,L000248,2023-02-20,15,0
P0000382,L000248,2023-03-22,13,0
P0000383,L000248,2023-04-21,0,0
P0000384,L000250,2024-07-20,0,0
P0000385,L000250,2024-08-19,0,0
P0000386,L000251,2024-05-13,4,0
P0000387,L000251,2024-06-12,0,0
P0000388,L000254,2024-07-06,25,0
P0000389,L000254,2024-08-05,44,0
P0000390,L000254,2024-09-04,82,0
P0000391,L000254,2024-10-04,117,1
P0000392,L000254,2024-11-03,154,1
P0000393,L000258,2022-05-25,3,0
P0000394,L000259,2024-07-06,0,0
P0000395,L000262,2022-02-10,0,0
P0000396,L000263,2023-02-28,23,0
P0000397,L000263,2023-03-30,57,0
P0000398,L000263,2023-04-29,82,0
P0000399,L000263,2023-05-29,119,1
P0000400,L000263,2023-06-28,134,1
P0000401,L000263,2023-07-28,168,1
P0000402,L000263,2023-08-27,180,1
P0000403,L000263,2023-09-26,180,1
P0000404,L000266,2022-07-03,16,0
P0000405,L000267,2025-10-01,44,0
P0000406,L000267,2025-10-31,59,0
P0000407,L000267,2025-11-30,84,0
P0000408,L000267,2025-12-30,128,1
P0000409,L000267,2026-01-29,154,1
P0000410,L000267,2026-02-28,180,1
P0000411,L000269,2025-07-22,0,0
P0000412,L000269,2025-08-21,0,0
P0000413,L000270,2021-11-27,0,0
P0000414,L000271,2022-01-23,0,0
P0000415,L000272,2023-02-28,3,0
P0000416,L000275,2023-06-25,12,0
P0000417,L000276,2022-08-19,28,0
P0000418,L000276,2022-09-18,45,0
P0000419,L000276,2022-10-18,82,0
P0000420,L000276,2022-11-17,101,1
P0000421,L000276,2022-12-17,137,1
P0000422,L000276,2023-01-16,154,1
P0000423,L000277,2024-08-13,17,0
P0000424,L000278,2023-10-31,17,0
P0000425,L000278,2023-11-30,33,0
P0000426,L000278,2023-12-30,70,0
P0000427,L000278,2024-01-29,85,0
P0000428,L000278,2024-02-28,114,1
P0000429,L000278,2024-03-29,149,1
P0000430,L000278,2024-04-28,176,1
P0000431,L000282,2023-10-12,0,0
P0000432,L000284,2022-03-26,6,0
P0000433,L000285,2021-06-04,9,0
P0000434,L000285,2021-07-04,17,0
P0000435,L000286,2023-11-07,20,0
P0000436,L000286,2023-12-07,37,0
P0000437,L000286,2024-01-06,66,0
P0000438,L000286,2024-02-05,83,0
P0000439,L000286,2024-03-06,118,1
P0000440,L000286,2024-04-05,141,1
P0000441,L000286,2024-05-05,180,1
P0000442,L000286,2024-06-04,180,1
P0000443,L000287,2024-02-08,4,0
P0000444,L000289,2022-11-14,33,0
P0000445,L000289,2022-12-14,76,0
P0000446,L000289,2023-01-13,100,1
P0000447,L000289,2023-02-12,116,1
P0000448,L000289,2023-03-14,159,1
P0000449,L000289,2023-04-13,180,1
P0000450,L000289,2023-05-13,180,1
P0000451,L000290,2024-01-22,23,0
P0000452,L000290,2024-02-21,52,0
P0000453,L000290,2024-03-22,93,1
P0000454,L000292,2025-05-27,41,0
P0000455,L000292,2025-06-26,60,0
P0000456,L000292,2025-07-26,77,0
P0000457,L000292,2025-08-25,114,1
P0000458,L000292,2025-09-24,139,1
P0000459,L000292,2025-10-24,164,1
P0000460,L000293,2023-07-08,43,0
P0000461,L000293,2023-08-07,65,0
P0000462,L000293,2023-09-06,80,0
P0000463,L000293,2023-10-06,107,1
P0000464,L000293,2023-11-05,138,1
P0000465,L000293,2023-12-05,153,1
P0000466,L000293,2024-01-04,180,1
P0000467,L000293,2024-02-03,180,1
P0000468,L000295,2023-04-09,38,0
P0000469,L000295,2023-05-09,63,0
P0000470,L000295,2023-06-08,87,0
P0000471,L000295,2023-07-08,106,1
P0000472,L000295,2023-08-07,137,1
P0000473,L000295,2023-09-06,153,1
P0000474,L000295,2023-10-06,177,1
P0000475,L000296,2025-03-07,17,0
P0000476,L000296,2025-04-06,53,0
P0000477,L000296,2025-05-06,72,0
P0000478,L000297,2024-07-13,0,0
P0000479,L000299,2025-07-04,35,0
P0000480,L000299,2025-08-03,64,0
P0000481,L000299,2025-09-02,95,1
P0000482,L000299,2025-10-02,137,1
P0000483,L000299,2025-11-01,163,1
P0000484,L000299,2025-12-01,180,1
P0000485,L000299,2025-12-31,180,1
P0000486,L000299,2026-01-30,180,1
P0000487,L000301,2023-10-13,17,0
P0000488,L000302,2025-03-21,20,0
P0000489,L000302,2025-04-20,40,0
P0000490,L000302,2025-05-20,75,0
P0000491,L000302,2025-06-19,91,1
P0000492,L000302,2025-07-19,129,1
P0000493,L000303,2023-04-10,3,0
P0000494,L000303,2023-05-10,11,0
P0000495,L000305,2025-03-09,0,0
P0000496,L000305,2025-04-08,7,0
P0000497,L000305,2025-05-08,0,0
P0000498,L000310,2025-11-07,18,0
P0000499,L000311,2022-11-28,18,0
P0000500,L000311,2022-12-28,53,0
P0000501,L000311,2023-01-27,72,0
P0000502,L000311,2023-02-26,114,1
P0000503,L000311,2023-03-28,139,1
P0000504,L000311,2023-04-27,162,1
P0000505,L000315,2021-06-02,3,0
P0000506,L000317,2021-05-14,0,0
P0000507,L000317,2021-06-13,15,0
P0000508,L000319,2022-07-17,2,0
P0000509,L000319,2022-08-16,0,0
P0000510,L000320,2022-07-09,0,0
P0000511,L000324,2025-04-05,10,0
P0000512,L000325,2023-01-15,0,0
P0000513,L000327,2021-08-22,0,0
P0000514,L000327,2021-09-21,18,0
P0000515,L000328,2021-09-22,0,0
P0000516,L000330,2023-06-28,33,0
P0000517,L000330,2023-07-28,56,0
P0000518,L000330,2023-08-27,84,0
P0000519,L000330,2023-09-26,124,1
P0000520,L000330,2023-10-26,156,1
P0000521,L000330,2023-11-25,176,1
P0000522,L000331,2026-01-28,10,0
P0000523,L000331,2026-02-27,8,0
P0000524,L000333,2021-12-11,23,0
P0000525,L000333,2022-01-10,39,0
P0000526,L000333,2022-02-09,63,0
P0000527,L000333,2022-03-11,105,1
P0000528,L000333,2022-04-10,133,1
P0000529,L000334,2025-09-07,7,0
P0000530,L000335,2024-05-25,0,0
P0000531,L000335,2024-06-24,18,0
P0000532,L000337,2024-12-05,12,0
P0000533,L000338,2022-07-05,16,0
P0000534,L000338,2022-08-04,4,0
P0000535,L000338,2022-09-03,0,0
P0000536,L000339,2023-09-29,0,0
P0000537,L000340,2023-08-22,0,0
P0000538,L000341,2025-02-05,36,0
P0000539,L000341,2025-03-07,55,0
P0000540,L000341,2025-04-06,76,0
P0000541,L000341,2025-05-06,96,1
P0000542,L000342,2023-10-19,10,0
P0000543,L000344,2025-04-11,40,0
P0000544,L000344,2025-05-11,80,0
P0000545,L000344,2025-06-10,109,1
P0000546,L000344,2025-07-10,126,1
P0000547,L000345,2024-01-01,2,0
P0000548,L000346,2024-05-17,2,0
P0000549,L000346,2024-06-16,13,0
P0000550,L000347,2021-09-04,19,0
P0000551,L000347,2021-10-04,51,0
P0000552,L000347,2021-11-03,80,0
P0000553,L000349,2024-04-04,31,0
P0000554,L000349,2024-05-04,46,0
P0000555,L000349,2024-06-03,86,0
P0000556,L000349,2024-07-03,111,1
P0000557,L000350,2021-02-21,31,0
P0000558,L000350,2021-03-23,47,0
P0000559,L000350,2021-04-22,77,0
P0000560,L000350,2021-05-22,105,1
P0000561,L000350,2021-06-21,131,1
P0000562,L000355,2021-02-28,5,0
P0000563,L000355,2021-03-30,0,0
P0000564,L000355,2021-04-29,15,0
P0000565,L000356,2025-08-04,0,0
P0000566,L000358,2022-04-15,18,0
P0000567,L000358,2022-05-15,56,0
P0000568,L000358,2022-06-14,77,0
P0000569,L000358,2022-07-14,107,1
P0000570,L000358,2022-08-13,141,1
P0000571,L000359,2023-08-23,0,0
P0000572,L000361,2024-03-09,18,0
P0000573,L000361,2024-04-08,0,0
P0000574,L000361,2024-05-08,3,0
P0000575,L000365,2024-02-02,0,0
P0000576,L000366,2021-05-03,0,0
P0000577,L000366,2021-06-02,15,0
P0000578,L000367,2023-11-26,0,0
P0000579,L000370,2022-01-12,31,0
P0000580,L000370,2022-02-11,66,0
P0000581,L000370,2022-03-13,93,1
P0000582,L000370,2022-04-12,134,1
P0000583,L000370,2022-05-12,152,1
P0000584,L000370,2022-06-11,168,1
P0000585,L000370,2022-07-11,180,1
P0000586,L000370,2022-08-10,180,1
P0000587,L000372,2021-07-02,10,0
P0000588,L000372,2021-08-01,0,0
P0000589,L000373,2025-06-08,19,0
P0000590,L000373,2025-07-08,35,0
P0000591,L000373,2025-08-07,59,0
P0000592,L000373,2025-09-06,89,0
P0000593,L000373,2025-10-06,132,1
P0000594,L000373,2025-11-05,151,1
P0000595,L000373,2025-12-05,174,1
P0000596,L000376,2023-11-27,22,0
P0000597,L000376,2023-12-27,50,0
P0000598,L000376,2024-01-26,82,0
P0000599,L000376,2024-02-25,114,1
P0000600,L000376,2024-03-26,154,1
P0000601,L000376,2024-04-25,180,1
P0000602,L000377,2022-10-20,8,0
P0000603,L000379,2023-08-22,0,0
P0000604,L000379,2023-09-21,9,0
P0000605,L000380,2025-11-24,12,0
P0000606,L000382,2023-01-29,39,0
P0000607,L000382,2023-02-28,82,0
P0000608,L000382,2023-03-30,115,1
P0000609,L000382,2023-04-29,132,1
P0000610,L000382,2023-05-29,149,1
P0000611,L000382,2023-06-28,175,1
P0000612,L000382,2023-07-28,180,1
P0000613,L000382,2023-08-27,180,1
P0000614,L000384,2025-11-01,19,0
P0000615,L000384,2025-12-01,19,0
P0000616,L000384,2025-12-31,2,0
P0000617,L000386,2024-07-01,6,0
P0000618,L000386,2024-07-31,1,0
P0000619,L000390,2021-07-11,33,0
P0000620,L000390,2021-08-10,48,0
P0000621,L000390,2021-09-09,66,0
P0000622,L000390,2021-10-09,84,0
P0000623,L000390,2021-11-08,105,1
P0000624,L000391,2025-06-15,3,0
P0000625,L000391,2025-07-15,2,0
P0000626,L000391,2025-08-14,1,0
P0000627,L000392,2023-03-19,16,0
P0000628,L000394,2025-07-31,0,0
P0000629,L000395,2022-10-08,26,0
P0000630,L000395,2022-11-07,47,0
P0000631,L000395,2022-12-07,80,0
P0000632,L000395,2023-01-06,123,1
P0000633,L000396,2022-03-01,2,0
P0000634,L000398,2023-04-21,0,0
P0000635,L000399,2024-02-22,33,0
P0000636,L000399,2024-03-23,65,0
P0000637,L000399,2024-04-22,83,0
P0000638,L000399,2024-05-22,102,1
P0000639,L000401,2021-12-23,7,0
P0000640,L000401,2022-01-22,13,0
P0000641,L000402,2025-12-06,0,0
P0000642,L000403,2021-02-21,3,0
P0000643,L000404,2023-04-26,0,0
P0000644,L000405,2022-12-09,16,0
P0000645,L000408,2025-10-08,18,0
P0000646,L000408,2025-11-07,10,0
P0000647,L000409,2021-09-14,4,0
P0000648,L000409,2021-10-14,10,0
P0000649,L000410,2024-08-21,0,0
P0000650,L000413,2023-06-22,33,0
P0000651,L000413,2023-07-22,76,0
P0000652,L000413,2023-08-21,98,1
P0000653,L000413,2023-09-20,127,1
P0000654,L000414,2021-06-29,0,0
P0000655,L000414,2021-07-29,5,0
P0000656,L000414,2021-08-28,1,0
P0000657,L000416,2025-07-06,7,0
P0000658,L000416,2025-08-05,3,0
P0000659,L000420,2023-02-18,7,0
P0000660,L000422,2024-06-15,40,0
P0000661,L000422,2024-07-15,56,0
P0000662,L000422,2024-08-14,71,0
P0000663,L000422,2024-09-13,106,1
P0000664,L000422,2024-10-13,127,1
P0000665,L000422,2024-11-12,162,1
P0000666,L000422,2024-12-12,180,1
P0000667,L000424,2024-05-20,5,0
P0000668,L000425,2021-11-08,0,0
P0000669,L000427,2025-06-23,15,0
P0000670,L000427,2025-07-23,8,0
P0000671,L000427,2025-08-22,4,0
P0000672,L000429,2022-12-05,0,0
P0000673,L000430,2024-01-12,8,0
P0000674,L000430,2024-02-11,8,0
P0000675,L000430,2024-03-12,6,0
P0000676,L000435,2022-11-07,19,0
P0000677,L000435,2022-12-07,8,0
P0000678,L000435,2023-01-06,7,0
P0000679,L000439,2022-08-03,37,0
P0000680,L000439,2022-09-02,60,0
P0000681,L000439,2022-10-02,94,1
P0000682,L000439,2022-11-01,113,1
P0000683,L000441,2025-02-05,3,0
P0000684,L000441,2025-03-07,5,0
P0000685,L000442,2021-05-18,14,0
P0000686,L000442,2021-06-17,13,0
P0000687,L000442,2021-07-17,0,0
P0000688,L000446,2025-12-27,0,0
P0000689,L000447,2025-10-01,8,0
P0000690,L000452,2023-11-03,32,0
P0000691,L000452,2023-12-03,66,0
P0000692,L000452,2024-01-02,98,1
P0000693,L000452,2024-02-01,122,1
P0000694,L000452,2024-03-02,146,1
P0000695,L000452,2024-04-01,178,1
P0000696,L000452,2024-05-01,180,1
