loan_id,borrower_id,loan_amount,term_months,interest_rate,benchmark_rate,purpose,origination_date,status,default_flag,interest_spread
L000023,B004644,77900,24,23.01,6.52,Home Improvement,2023-02-17,Default,1,16.49
L000024,B013464,282000,48,21.68,6.89,Business,2025-09-27,Default,1,14.79
L000025,B013083,168000,24,10.25,7.05,Medical,2024-02-09,Active,0,3.2
L000026,B006084,105500,36,11.08,6.77,Education,2023-03-25,Active,0,4.31
L000027,B008900,58200,36,18.04,7.03,Education,2025-12-04,Closed,0,11.01
L000028,B003071,70000,12,9.88,5.91,Business,2022-09-11,Closed,0,3.97
L000029,B008599,194900,24,8.04,5.71,Auto,2022-06-19,Closed,0,2.33
L000030,B001827,219400,36,15.1,7.01,Education,2025-08-09,Default,1,8.09
L000031,B004870,257400,36,18.57,6.06,Business,2022-09-05,Active,0,12.51
L000032,B011824,324500,24,12.68,6.42,Education,2022-11-18,Active,0,6.26
L000033,B009070,153000,36,14.65,6.77,Home Improvement,2024-10-01,Active,0,7.88
L000034,B010484,408600,48,16.9,6.27,Home Improvement,2022-11-13,Active,0,10.63
L000035,B010804,60600,24,14.05,6.98,Debt Consolidation,2024-02-10,Closed,0,7.07
L000036,B005606,382900,36,15.64,7.0,Personal,2023-07-03,Closed,0,8.64
L000037,B017503,69200,36,9.0,7.14,Personal,2023-12-31,Active,0,1.86
L000038,B012740,413000,24,13.7,6.89,Medical,2024-10-01,Active,0,6.81
L000039,B006713,193700,36,13.07,5.77,Debt Consolidation,2022-07-29,Active,0,7.3
L000040,B005068,175900,48,6.0,4.07,Business,2021-03-20,Active,0,1.93
L000041,B017870,337200,36,24.36,5.17,Personal,2021-12-20,Active,0,19.19
L000042,B000766,109800,24,15.39,6.86,Home Improvement,2025-03-08,Active,0,8.53
L000043,B003448,844700,24,18.95,4.32,Medical,2021-05-19,Active,0,14.63
L000044,B008762,85800,48,14.37,7.04,Home Improvement,2024-01-30,Active,0,7.33
L000045,B010592,194300,24,6.38,6.5,Medical,2023-02-24,Closed,0,-0.12
L000046,B013649,39300,48,23.74,6.23,Medical,2022-12-03,Active,0,17.51
L000047,B017353,398300,48,9.13,5.28,Auto,2022-01-04,Closed,0,3.85
L000048,B006454,217000,24,8.17,6.89,Personal,2025-03-30,Active,0,1.28
L000049,B016306,367300,60,10.86,7.06,Debt Consolidation,2024-11-19,Active,0,3.8
L000050,B001618,354400,36,19.75,7.16,Home Improvement,2025-10-16,Default,1,12.59
L000051,B002572,168700,48,18.6,5.2,Education,2022-01-29,Active,0,13.4
L000052,B002810,82000,24,20.15,7.15,Education,2023-10-18,Closed,0,13.0
L000053,B008351,755200,36,9.88,5.11,Business,2022-01-20,Active,0,4.77
L000054,B003683,258300,36,20.33,7.3,Debt Consolidation,2024-09-28,Default,1,13.03
L000055,B003147,608800,36,7.7,7.07,Personal,2024-03-21,Closed,0,0.63
L000056,B000971,289900,12,13.25,6.92,Debt Consolidation,2025-06-17,Closed,0,6.33
L000057,B014212,196600,36,25.09,7.16,Auto,2024-03-06,Default,1,17.93
L000058,B016102,380600,36,16.65,6.86,Personal,2025-10-05,Closed,0,9.79
L000059,B009286,97300,48,8.87,4.08,Personal,2021-04-10,Closed,0,4.79
L000060,B008156,789000,36,9.33,6.03,Debt Consolidation,2022-10-26,Active,0,3.3
L000061,B005643,353000,60,11.83,6.8,Education,2025-02-19,Closed,0,5.03
L000062,B000564,464700,48,11.25,6.1,Medical,2022-12-06,Active,0,5.15
L000063,B009387,857300,12,23.53,5.05,Home Improvement,2021-10-15,Closed,0,18.48
L000064,B007701,68800,36,8.7,7.1,Medical,2025-12-14,Active,0,1.6
L000065,B010432,175000,48,13.21,4.77,Education,2021-09-23,Active,0,8.44
L000066,B005732,722900,36,24.16,5.74,Debt Consolidation,2022-04-10,Closed,0,18.42
L000067,B008199,124700,24,16.2,5.88,Personal,2022-09-21,Active,0,10.32
L000068,B013982,130600,48,8.51,6.81,Medical,2023-03-13,Closed,0,1.7
L000069,B014976,455000,12,21.01,4.82,Medical,2021-10-21,Closed,0,16.19
L000070,B013647,186600,12,8.61,6.32,Business,2022-11-29,Closed,0,2.29
L000071,B009317,606900,60,18.93,6.93,Medical,2024-03-19,Active,0,12.0
L000072,B013949,882400,48,6.78,6.98,Medical,2025-10-12,Closed,0,-0.2
L000073,B004067,145900,24,13.02,5.51,Medical,2022-03-29,Active,0,7.51
L000074,B011170,442200,48,10.08,6.65,Auto,2023-04-12,Closed,0,3.43
L000075,B007798,582800,36,13.79,3.99,Debt Consolidation,2021-01-01,Closed,0,9.8
L000076,B000662,633400,36,23.69,4.25,Medical,2021-04-22,Closed,0,19.44
L000077,B000106,178700,24,12.16,6.81,Auto,2024-08-31,Closed,0,5.35
L000078,B000388,479800,24,11.39,6.6,Auto,2023-05-23,Closed,0,4.79
L000079,B002642,548300,24,9.46,7.01,Personal,2025-03-02,Active,0,2.45
L000080,B006201,260800,12,7.03,7.26,Home Improvement,2024-03-04,Active,0,-0.23
L000081,B003812,111500,24,11.87,6.88,Business,2025-01-15,Closed,0,4.99
L000082,B012996,182000,36,15.87,7.1,Medical,2025-02-01,Default,1,8.77
L000083,B002992,258800,24,11.88,4.39,Education,2021-03-12,Active,0,7.49
L000084,B005950,341900,60,6.0,6.11,Business,2022-10-25,Active,0,-0.11
L000085,B003185,165400,36,11.4,5.61,Debt Consolidation,2022-06-07,Closed,0,5.79
L000086,B011360,120500,48,19.71,7.05,Education,2025-05-17,Closed,0,12.66
L000087,B013265,208600,12,21.53,7.12,Education,2025-11-06,Active,0,14.41
L000088,B006377,182700,24,14.97,7.12,Debt Consolidation,2025-08-29,Closed,0,7.85
L000089,B015428,206900,24,23.08,6.85,Medical,2024-07-24,Closed,0,16.23
L000090,B011902,181700,36,19.01,7.3,Home Improvement,2024-07-18,Closed,0,11.71
L000091,B015347,177500,24,22.62,6.98,Medical,2025-04-08,Active,0,15.64
L000092,B015247,320700,36,23.91,6.3,Personal,2022-12-07,Default,1,17.61
L000093,B007803,206500,12,27.09,5.89,Medical,2022-07-21,Default,1,21.2
L000094,B000961,240600,24,13.24,5.72,Home Improvement,2022-04-19,Closed,0,7.52
L000095,B009027,536000,36,17.23,4.53,Debt Consolidation,2021-02-20,Closed,0,12.7
L000096,B008913,148700,12,18.66,6.97,Business,2023-06-19,Active,0,11.69
L000097,B016633,50300,36,14.82,3.99,Debt Consolidation,2021-02-11,Active,0,10.83
L000098,B006669,109900,36,25.85,7.05,Auto,2023-10-20,Closed,0,18.8
L000099,B016360,1153400,48,12.29,7.09,Personal,2025-04-29,Active,0,5.2
L000100,B016837,528200,48,8.83,4.27,Auto,2021-04-17,Active,0,4.56
L000101,B016745,39100,60,8.57,6.81,Auto,2023-12-02,Closed,0,1.76
L000102,B016018,348100,24,11.08,7.2,Personal,2025-05-07,Active,0,3.88
L000103,B012552,282400,36,8.36,7.19,Business,2025-02-13,Closed,0,1.17
L000104,B017138,319100,48,9.45,7.03,Education,2023-12-18,Active,0,2.42
L000105,B011074,93500,36,17.73,7.2,Auto,2024-12-18,Closed,0,10.53
L000106,B017290,160700,48,16.25,6.03,Personal,2022-09-16,Active,0,10.22
L000107,B014001,363400,36,21.3,6.81,Medical,2023-09-26,Active,0,14.49
L000108,B006713,120300,36,13.44,7.17,Business,2024-11-10,Active,0,6.27
L000109,B001177,226500,12,9.44,6.99,Business,2024-08-04,Active,0,2.45
L000110,B010407,282600,36,9.24,7.33,Personal,2025-10-06,Active,0,1.91
L000111,B016963,93700,60,9.32,6.75,Auto,2025-07-14,Active,0,2.57
L000112,B001088,821800,12,8.35,7.08,Debt Consolidation,2025-09-02,Active,0,1.27
L000113,B004916,535100,24,10.95,6.83,Home Improvement,2025-05-17,Active,0,4.12
L000114,B014634,473600,48,18.5,5.05,Education,2021-10-04,Active,0,13.45
L000115,B004877,101200,36,14.95,4.36,Auto,2021-02-28,Closed,0,10.59
L000116,B015079,204800,36,15.89,6.88,Business,2025-07-09,Active,0,9.01
L000117,B001632,515800,36,17.94,7.27,Business,2024-05-08,Closed,0,10.67
L000118,B006004,62600,60,19.1,6.74,Business,2025-02-10,Active,0,12.36
L000119,B014182,261000,24,9.39,7.08,Debt Consolidation,2025-12-03,Active,0,2.31
L000120,B001830,123100,48,11.27,5.98,Personal,2022-08-05,Active,0,5.29
L000121,B004180,247800,48,18.28,7.08,Auto,2024-07-28,Default,1,11.2
L000122,B000227,65900,60,6.46,7.15,Auto,2025-12-16,Active,0,-0.69
L000123,B011185,90900,48,15.78,7.05,Business,2024-12-26,Closed,0,8.73
L000124,B005635,120700,36,10.13,7.07,Business,2025-12-13,Closed,0,3.06
L000125,B008145,291200,36,14.36,4.6,Business,2021-08-23,Active,0,9.76
L000126,B014973,123700,48,13.23,6.88,Debt Consolidation,2024-12-17,Active,0,6.35
L000127,B017012,153500,60,13.61,6.96,Personal,2025-04-27,Active,0,6.65
L000128,B004534,557600,24,17.39,6.97,Personal,2023-05-02,Closed,0,10.42
L000129,B004101,297500,24,19.19,5.68,Home Improvement,2022-05-02,Active,0,13.51
L000130,B013418,225500,12,16.87,5.25,Medical,2022-01-05,Active,0,11.62
L000131,B013915,483500,12,15.8,5.98,Home Improvement,2022-12-22,Active,0,9.82
L000132,B003163,86600,12,27.08,6.33,Auto,2023-02-13,Default,1,20.75
L000133,B016720,295600,48,11.25,7.05,Business,2024-02-13,Default,1,4.2
L000134,B013197,432300,36,11.21,5.16,Medical,2022-01-11,Closed,0,6.05
L000135,B015021,562900,60,15.53,5.42,Personal,2022-03-21,Closed,0,10.11
L000136,B005640,257400,36,18.35,5.85,Medical,2022-06-09,Default,1,12.5
L000137,B003525,361800,12,17.0,7.02,Business,2023-11-22,Closed,0,9.98
L000138,B008674,210300,12,7.2,6.01,Personal,2022-11-13,Closed,0,1.19
L000139,B001610,214300,60,11.32,6.92,Business,2025-10-27,Closed,0,4.4
L000140,B010291,327600,48,27.93,7.05,Education,2025-01-02,Closed,0,20.88
L000141,B001210,148000,12,11.68,7.12,Home Improvement,2023-08-19,Closed,0,4.56
L000142,B004769,75900,60,22.13,4.69,Education,2021-08-31,Default,1,17.44
L000143,B008767,303400,24,9.52,6.51,Education,2022-12-24,Closed,0,3.01
L000144,B004606,62100,12,10.63,5.78,Auto,2022-10-08,Default,1,4.85
L000145,B007799,252800,36,22.51,6.98,Medical,2025-08-12,Active,0,15.53
L000146,B015738,1233700,48,12.47,6.76,Home Improvement,2025-08-10,Closed,0,5.71
L000147,B002272,278000,24,15.98,6.87,Business,2024-07-04,Closed,0,9.11
L000148,B013879,465100,48,23.93,4.4,Debt Consolidation,2021-03-30,Active,0,19.53
L000149,B013812,129800,24,12.24,6.93,Personal,2024-07-30,Active,0,5.31
L000150,B012906,193700,24,11.54,6.87,Personal,2024-02-20,Closed,0,4.67
L000151,B004698,241200,36,14.19,5.38,Debt Consolidation,2022-04-03,Active,0,8.81
L000152,B001554,347500,36,24.58,7.2,Business,2025-02-25,Active,0,17.38
L000153,B012739,236100,48,9.86,6.78,Auto,2023-03-21,Closed,0,3.08
L000154,B013815,242800,12,17.73,7.0,Business,2025-12-01,Closed,0,10.73
L000155,B009545,207200,12,23.12,4.86,Education,2021-12-03,Default,1,18.26
L000156,B000919,211100,48,19.53,6.72,Home Improvement,2025-10-07,Closed,0,12.81
L000157,B013776,68100,36,7.63,6.64,Education,2023-04-14,Active,0,0.99
L000158,B014134,353900,48,16.3,5.69,Business,2022-06-15,Active,0,10.61
L000159,B004761,351200,24,20.7,4.66,Education,2021-03-19,Default,1,16.04
L000160,B014238,321000,24,17.21,6.88,Business,2025-08-10,Default,1,10.33
L000161,B003753,272100,36,14.35,6.2,Debt Consolidation,2022-11-18,Active,0,8.15
L000162,B014669,36200,12,14.74,6.96,Home Improvement,2023-12-28,Closed,0,7.78
L000163,B009640,253100,36,17.35,6.87,Medical,2023-07-20,Closed,0,10.48
L000164,B005234,287000,36,15.94,7.27,Auto,2024-06-01,Closed,0,8.67
L000165,B014770,117400,12,18.11,4.31,Debt Consolidation,2021-04-19,Active,0,13.8
L000166,B006963,182200,36,9.9,6.71,Debt Consolidation,2023-11-27,Closed,0,3.19
L000167,B013900,458500,48,24.42,5.61,Debt Consolidation,2022-04-09,Closed,0,18.81
L000168,B011044,158600,48,16.02,7.07,Debt Consolidation,2025-06-26,Closed,0,8.95
L000169,B000334,615200,48,6.0,7.1,Personal,2023-06-22,Closed,0,-1.1
L000170,B000297,689500,36,11.88,6.95,Education,2024-07-03,Closed,0,4.93
L000171,B008270,119100,60,16.72,4.33,Personal,2021-06-10,Closed,0,12.39
L000172,B014683,1313200,24,14.48,4.92,Personal,2021-10-04,Active,0,9.56
L000173,B007480,496700,24,9.74,7.01,Medical,2024-04-02,Closed,0,2.73
L000174,B003711,882200,12,12.28,4.2,Auto,2021-03-31,Closed,0,8.08
L000175,B006982,1197500,12,18.78,4.49,Personal,2021-07-02,Active,0,14.29
L000176,B007032,143300,12,12.72,7.07,Home Improvement,2024-09-23,Active,0,5.65
L000177,B014542,592300,36,13.7,6.89,Debt Consolidation,2024-07-26,Active,0,6.81
L000178,B000395,105300,24,8.03,7.2,Personal,2024-08-17,Active,0,0.83
L000179,B017906,67200,48,22.2,4.2,Personal,2021-01-25,Active,0,18.0
L000180,B015588,98500,36,18.26,7.17,Education,2024-07-29,Closed,0,11.09
L000181,B009740,149300,36,12.33,5.24,Auto,2022-02-27,Default,1,7.09
L000182,B007293,598800,36,11.04,7.0,Debt Consolidation,2024-08-30,Active,0,4.04
L000183,B007972,175400,24,9.73,5.83,Medical,2022-08-08,Active,0,3.9
L000184,B012865,266000,36,13.42,6.9,Debt Consolidation,2024-07-06,Closed,0,6.52
L000185,B001352,295700,36,23.69,4.73,Home Improvement,2021-05-28,Default,1,18.96
L000186,B013824,619800,36,11.64,5.16,Auto,2021-10-31,Active,0,6.48
L000187,B014845,62700,24,16.85,4.89,Auto,2021-09-19,Closed,0,11.96
L000188,B013223,311900,12,19.06,7.23,Auto,2025-04-07,Active,0,11.83
L000189,B012939,515000,12,19.46,6.23,Business,2022-09-21,Active,0,13.23
L000190,B008589,341100,12,20.79,6.75,Medical,2023-05-12,Closed,0,14.04
L000191,B011919,796200,36,13.25,6.42,Debt Consolidation,2023-03-22,Active,0,6.83
L000192,B001392,758900,36,17.83,5.21,Debt Consolidation,2022-04-28,Active,0,12.62
L000193,B011081,413100,36,21.76,6.82,Personal,2023-09-02,Default,1,14.94
L000194,B011209,197400,12,11.59,4.6,Debt Consolidation,2021-04-26,Closed,0,6.99
L000195,B011851,43500,24,11.84,6.97,Home Improvement,2025-07-10,Active,0,4.87
L000196,B011455,446000,36,12.42,7.11,Education,2025-09-27,Active,0,5.31
L000197,B000663,160000,12,11.83,7.06,Auto,2023-10-11,Active,0,4.77
L000198,B003220,108000,12,6.0,6.79,Debt Consolidation,2023-05-06,Active,0,-0.79
L000199,B009703,1011900,24,10.32,6.91,Business,2024-04-08,Active,0,3.41
L000200,B014726,681000,36,9.8,4.81,Debt Consolidation,2021-08-18,Closed,0,4.99
L000201,B013586,940500,12,16.75,7.29,Auto,2024-10-25,Closed,0,9.46
L000202,B000732,68600,48,16.97,5.68,Personal,2022-05-13,Default,1,11.29
L000203,B008569,333400,12,19.63,6.75,Business,2024-02-27,Active,0,12.88
L000204,B012816,208700,36,17.97,3.75,Business,2021-01-15,Default,1,14.22
L000205,B010594,258700,36,9.29,7.02,Home Improvement,2025-02-23,Closed,0,2.27
L000206,B017330,56900,12,18.72,5.48,Personal,2022-04-13,Active,0,13.24
L000207,B015080,54300,36,21.5,6.79,Personal,2024-07-26,Active,0,14.71
L000208,B010449,59000,60,17.45,7.17,Home Improvement,2025-06-11,Closed,0,10.28
L000209,B007141,71700,48,19.67,6.92,Debt Consolidation,2025-06-17,Closed,0,12.75
L000210,B014555,234100,48,14.28,7.06,Medical,2023-06-26,Closed,0,7.22
L000211,B014243,506300,12,22.4,7.14,Debt Consolidation,2024-10-14,Closed,0,15.26
L000212,B001563,577200,48,13.31,4.2,Medical,2021-05-08,Closed,0,9.11
L000213,B000065,201700,36,11.64,4.01,Debt Consolidation,2021-01-11,Closed,0,7.63
L000214,B017578,122300,48,14.31,6.87,Auto,2025-11-28,Default,1,7.44
L000215,B006002,108100,24,13.11,5.18,Personal,2021-11-28,Active,0,7.93
L000216,B004813,366600,48,14.67,6.13,Home Improvement,2022-08-15,Closed,0,8.54
L000217,B003673,142000,24,10.16,7.03,Personal,2025-03-14,Active,0,3.13
L000218,B001366,300500,36,17.42,6.95,Debt Consolidation,2023-06-03,Closed,0,10.47
L000219,B002880,121200,36,6.0,6.96,Education,2025-04-09,Active,0,-0.96
L000220,B016728,170500,36,19.08,5.62,Home Improvement,2022-04-11,Closed,0,13.46
L000221,B016853,109000,48,9.92,6.75,Home Improvement,2023-06-02,Active,0,3.17
L000222,B016511,118700,60,16.44,6.71,Home Improvement,2024-03-01,Active,0,9.73
L000223,B015590,658600,36,9.91,5.52,Debt Consolidation,2022-03-08,Closed,0,4.39
L000224,B014481,497700,36,11.51,7.07,Medical,2025-02-01,Active,0,4.44
L000225,B014396,134500,36,14.26,5.2,Medical,2021-11-21,Closed,0,9.06
L000226,B008543,113600,36,10.04,7.0,Personal,2023-06-08,Closed,0,3.04
L000227,B016100,2000000,24,23.78,6.82,Personal,2025-08-18,Closed,0,16.96
L000228,B006054,73800,48,17.88,6.84,Debt Consolidation,2025-08-18,Active,0,11.04
L000229,B002897,701700,24,16.38,7.15,Home Improvement,2024-03-30,Active,0,9.23
L000230,B008302,291600,24,13.96,6.84,Business,2025-05-29,Default,1,7.12
L000231,B006417,251000,36,26.09,6.97,Home Improvement,2024-12-20,Default,1,19.12
L000232,B003210,113000,60,21.11,6.85,Debt Consolidation,2025-04-12,Default,1,14.26
L000233,B011375,65800,36,8.12,7.2,Home Improvement,2024-07-10,Active,0,0.92
L000234,B011573,147000,48,8.83,6.79,Home Improvement,2025-12-26,Closed,0,2.04
L000235,B011713,94800,48,11.67,4.67,Auto,2021-06-29,Active,0,7.0
L000236,B005977,351500,48,20.13,6.86,Medical,2025-01-25,Closed,0,13.27
L000237,B008652,1994200,36,22.78,4.95,Home Improvement,2021-09-19,Active,0,17.83
L000238,B010120,236700,36,17.85,5.87,Debt Consolidation,2022-06-28,Closed,0,11.98
L000239,B005273,306400,48,9.98,7.05,Business,2025-04-15,Active,0,2.93
L000240,B000218,48000,48,13.25,7.21,Personal,2025-10-01,Active,0,6.04
L000241,B014741,153300,48,19.54,7.3,Personal,2024-01-22,Default,1,12.24
L000242,B010023,86200,36,8.7,4.97,Auto,2022-04-12,Closed,0,3.73
L000243,B008738,166600,48,23.25,4.49,Education,2021-06-07,Default,1,18.76
L000244,B008342,207300,36,6.13,5.52,Auto,2022-05-05,Active,0,0.61
L000245,B004126,77400,24,19.55,7.14,Business,2023-12-24,Active,0,12.41
L000246,B001046,168600,36,14.04,7.15,Business,2023-07-01,Active,0,6.89
L000247,B006224,102800,36,9.3,4.66,Personal,2021-09-29,Closed,0,4.64
L000248,B007656,690000,24,14.06,6.46,Education,2023-01-21,Closed,0,7.6
L000249,B010920,53200,24,12.41,6.89,Auto,2025-11-05,Active,0,5.52
L000250,B014539,1900100,24,23.74,7.08,Auto,2024-06-20,Active,0,16.66
L000251,B005076,165300,36,12.86,7.17,Education,2024-04-13,Active,0,5.69
L000252,B008697,40700,24,24.34,6.84,Debt Consolidation,2025-03-18,Closed,0,17.5
L000253,B001852,771700,60,15.73,5.97,Business,2022-08-23,Closed,0,9.76
L000254,B012079,134800,12,16.76,6.85,Business,2024-06-06,Default,1,9.91
L000255,B000594,210400,24,10.24,5.63,Personal,2022-07-26,Closed,0,4.61
L000256,B001159,263200,24,12.22,4.6,Business,2021-05-11,Active,0,7.62
L000257,B009838,252600,12,8.03,7.16,Debt Consolidation,2025-06-21,Active,0,0.87
L000258,B012069,88600,24,7.26,5.42,Business,2022-04-25,Active,0,1.84
L000259,B005230,267700,60,9.54,7.17,Auto,2024-06-06,Active,0,2.37
L000260,B000803,592300,36,14.22,6.82,Business,2025-09-03,Active,0,7.4
L000261,B002017,119200,12,7.35,7.12,Debt Consolidation,2024-01-02,Active,0,0.23
L000262,B009749,519300,24,27.88,5.08,Home Improvement,2022-01-11,Active,0,22.8
L000263,B001640,206200,36,17.96,6.49,Home Improvement,2023-01-29,Default,1,11.47
L000264,B005798,382000,60,9.86,5.13,Business,2021-12-17,Active,0,4.73
L000265,B006283,202900,36,13.35,6.63,Debt Consolidation,2023-10-21,Closed,0,6.72
L000266,B005985,289500,48,12.52,5.65,Debt Consolidation,2022-06-03,Closed,0,6.87
L000267,B006369,392900,60,17.47,6.98,Medical,2025-09-01,Default,1,10.49
L000268,B015421,196700,12,19.74,4.97,Medical,2021-12-16,Closed,0,14.77
L000269,B009150,37900,12,11.66,6.92,Debt Consolidation,2025-06-22,Closed,0,4.74
L000270,B004449,261400,24,13.16,5.14,Business,2021-10-28,Active,0,8.02
L000271,B001049,386100,24,7.88,5.16,Auto,2021-12-24,Active,0,2.72
L000272,B000779,267100,36,19.12,6.41,Auto,2023-01-29,Active,0,12.71
L000273,B007224,162500,36,12.95,6.44,Medical,2023-03-18,Active,0,6.51
L000274,B009456,81700,36,6.18,6.88,Education,2025-11-17,Active,0,-0.7
L000275,B007283,60000,36,13.67,6.86,Personal,2023-05-26,Closed,0,6.81
L000276,B011387,68700,24,22.83,5.81,Auto,2022-07-20,Default,1,17.02
L000277,B012503,156500,48,17.67,6.85,Education,2024-07-14,Closed,0,10.82
L000278,B003348,209200,48,15.69,6.89,Home Improvement,2023-10-01,Default,1,8.8
L000279,B007887,88100,36,7.11,4.01,Education,2021-02-16,Active,0,3.1
L000280,B011129,95600,48,18.97,5.62,Medical,2022-03-04,Active,0,13.35
L000281,B007774,549200,24,20.04,5.87,Auto,2022-05-24,Active,0,14.17
L000282,B009401,248100,36,15.65,7.0,Home Improvement,2023-09-12,Closed,0,8.65
L000283,B016375,181400,12,13.63,6.05,Auto,2022-08-27,Active,0,7.58
L000284,B009261,785200,24,18.44,5.6,Home Improvement,2022-02-24,Closed,0,12.84
L000285,B009923,204600,60,12.84,4.55,Business,2021-05-05,Closed,0,8.29
L000286,B011829,170000,48,26.09,6.88,Auto,2023-10-08,Default,1,19.21
L000287,B016546,206600,36,22.51,7.05,Business,2024-01-09,Closed,0,15.46
L000288,B013703,129800,36,15.41,6.95,Debt Consolidation,2024-09-25,Closed,0,8.46
L000289,B015068,441000,48,26.22,6.28,Auto,2022-10-15,Default,1,19.94
L000290,B016647,147200,36,19.36,6.65,Medical,2023-12-23,Default,1,12.71
L000291,B004223,224400,36,18.64,6.58,Medical,2025-11-28,Active,0,12.06
L000292,B002546,309100,36,16.39,7.06,Personal,2025-04-27,Default,1,9.33
L000293,B015982,90000,12,27.21,6.95,Education,2023-06-08,Default,1,20.26
L000294,B006502,58700,24,7.49,5.62,Auto,2022-04-16,Active,0,1.87
L000295,B010026,92300,48,20.25,6.49,Auto,2023-03-10,Default,1,13.76
L000296,B006927,204700,12,26.8,6.78,Auto,2025-02-05,Default,1,20.02
L000297,B014690,614100,24,24.12,6.92,Medical,2024-06-13,Active,0,17.2
L000298,B015106,198700,48,10.82,5.12,Debt Consolidation,2022-02-28,Closed,0,5.7
L000299,B016768,346700,24,17.79,6.83,Home Improvement,2025-06-04,Default,1,10.96
L000300,B003586,318200,48,18.34,7.13,Personal,2025-03-23,Active,0,11.21
L000301,B010688,477400,24,15.03,6.94,Debt Consolidation,2023-09-13,Closed,0,8.09
L000302,B016640,196700,12,21.97,6.92,Home Improvement,2025-02-19,Default,1,15.05
L000303,B013532,104300,24,16.63,6.47,Education,2023-03-11,Closed,0,10.16
L000304,B001360,39000,24,15.04,6.91,Personal,2024-08-03,Closed,0,8.13
L000305,B009244,138100,12,15.64,7.03,Medical,2025-02-07,Closed,0,8.61
L000306,B003979,350500,48,18.37,4.52,Business,2021-05-17,Closed,0,13.85
L000307,B006202,234700,60,12.08,6.39,Home Improvement,2023-02-27,Active,0,5.69
L000308,B000101,712500,12,15.27,5.19,Debt Consolidation,2021-12-25,Closed,0,10.08
L000309,B008923,114700,48,15.94,6.98,Education,2023-04-04,Active,0,8.96
L000310,B017397,107100,36,13.59,6.88,Personal,2025-10-08,Closed,0,6.71
L000311,B017309,893000,48,23.33,6.25,Auto,2022-10-29,Default,1,17.08
L000312,B002703,177200,36,17.19,6.96,Business,2024-02-10,Active,0,10.23
L000313,B014381,321900,36,13.53,6.99,Education,2024-11-06,Active,0,6.54
L000314,B011788,84700,36,13.52,7.12,Personal,2024-10-22,Active,0,6.4
L000315,B002613,370200,24,18.15,4.45,Personal,2021-05-03,Active,0,13.7
L000316,B001123,466500,36,12.19,6.27,Home Improvement,2022-10-29,Active,0,5.92
L000317,B011659,48800,60,17.02,4.18,Education,2021-04-14,Active,0,12.84
L000318,B010411,239000,48,13.59,4.93,Business,2021-11-05,Active,0,8.66
L000319,B007321,73000,12,9.42,5.89,Education,2022-06-17,Active,0,3.53
L000320,B007055,28800,12,13.0,5.58,Education,2022-06-09,Closed,0,7.42
L000321,B016810,86900,36,9.98,4.2,Education,2021-02-16,Active,0,5.78
L000322,B001894,122000,12,17.68,6.81,Medical,2023-03-22,Closed,0,10.87
L000323,B002690,216300,36,12.98,5.15,Personal,2021-11-14,Active,0,7.83
L000324,B001940,64500,24,16.18,6.92,Home Improvement,2025-03-06,Closed,0,9.26
L000325,B014799,236100,12,7.84,6.31,Auto,2022-12-16,Closed,0,1.53
L000326,B010604,304100,12,15.0,6.56,Education,2023-02-07,Closed,0,8.44
L000327,B006681,283700,48,17.25,4.55,Medical,2021-07-23,Closed,0,12.7
