borrower_id,income_band,annual_income,employment_type,years_employed,credit_grade,credit_score,region,age
B000051,Lower-Middle,353825,Freelancer,18,C,681,West,57
B000052,Low,226423,Salaried,1,C,694,North,64
B000053,Upper-Middle,1491049,Unemployed,1,C,667,South,60
B000054,Middle,844670,Salaried,21,D,556,East,34
B000055,Middle,920906,Salaried,11,D,578,Central,40
B000056,Upper-Middle,1061732,Salaried,13,C,634,North,52
B000057,Middle,662756,Salaried,19,C,659,East,32
B000058,Middle,774787,Salaried,14,B,721,West,62
B000059,Low,222423,Freelancer,10,D,582,South,26
B000060,Low,180820,Business Owner,3,B,787,East,41
B000061,Middle,719740,Business Owner,29,C,694,East,54
B000062,Middle,663758,Salaried,11,G,300,Central,26
B000063,Middle,817094,Freelancer,23,G,316,West,64
B000064,Upper-Middle,1381730,Salaried,5,D,643,East,26
B000065,Middle,875175,Business Owner,9,B,746,North,32
B000066,Middle,852201,Business Owner,0,D,592,South,38
B000067,Middle,708356,Salaried,1,D,610,Central,49
B000068,Lower-Middle,528068,Salaried,12,A,813,East,35
B000069,Low,172774,Freelancer,9,G,319,South,46
B000070,Lower-Middle,489118,Salaried,3,C,694,West,34
B000071,Lower-Middle,486017,Self-Employed,6,C,662,Central,36
B000072,Lower-Middle,370622,Freelancer,5,D,543,North,42
B000073,Upper-Middle,1156302,Salaried,22,F,432,Central,34
B000074,Lower-Middle,332025,Salaried,9,E,446,South,44
B000075,Low,243056,Salaried,9,B,703,East,39
B000076,Lower-Middle,409192,Business Owner,13,E,454,South,32
B000077,Lower-Middle,599615,Salaried,5,F,390,North,38
B000078,Middle,853977,Salaried,7,E,451,South,40
B000079,Middle,603960,Salaried,6,B,730,Central,42
B000080,Upper-Middle,1299054,Unemployed,28,D,562,Central,49
B000081,Middle,605682,Freelancer,18,E,523,South,33
B000082,Lower-Middle,487964,Self-Employed,27,B,771,West,45
B000083,Upper-Middle,1734096,Freelancer,25,D,586,West,40
B000084,Low,261740,Self-Employed,7,D,621,East,54
B000085,Low,189801,Freelancer,1,D,623,Central,48
B000086,Low,176808,Salaried,13,B,736,North,33
B000087,Middle,950954,Salaried,10,C,645,Central,30
B000088,Middle,647736,Freelancer,18,D,564,East,37
B000089,Low,256476,Salaried,4,B,766,North,36
B000090,Middle,697739,Salaried,5,C,705,West,45
B000091,Low,195237,Business Owner,6,C,643,Central,31
B000092,Middle,618695,Self-Employed,18,A,848,South,60
B000093,Lower-Middle,350970,Salaried,5,D,577,East,57
B000094,Lower-Middle,311793,Salaried,12,G,347,Central,47
B000095,Lower-Middle,456147,Salaried,7,C,693,East,50
B000096,Middle,779958,Salaried,0,C,643,South,33
B000097,Lower-Middle,459727,Salaried,5,B,781,West,45
B000098,Low,159801,Self-Employed,7,D,573,North,22
B000099,Low,270915,Business Owner,24,C,677,South,27
B000100,High,2073137,Salaried,5,F,368,Central,43
B000101,Upper-Middle,1665520,Salaried,17,D,529,North,25
B000102,Middle,728844,Self-Employed,24,C,662,East,62
B000103,Lower-Middle,433183,Salaried,29,C,645,West,53
B000104,High,3235805,Salaried,14,D,575,East,50
B000105,Upper-Middle,1484322,Salaried,1,B,743,South,60
B000106,Middle,826324,Self-Employed,5,C,671,Central,39
B000107,Lower-Middle,420045,Salaried,16,C,676,Central,58
B000108,Lower-Middle,443954,Salaried,17,D,599,Central,24
B000109,Low,159829,Self-Employed,29,D,598,North,56
B000110,Upper-Middle,1129664,Business Owner,13,E,523,Central,26
B000111,Middle,893106,Business Owner,13,B,763,East,26
B000112,Lower-Middle,501678,Freelancer,12,F,368,West,53
B000113,Lower-Middle,401043,Self-Employed,8,D,605,South,51
B000114,Middle,916954,Salaried,6,E,497,East,34
B000115,Low,270924,Salaried,28,D,600,West,27
B000116,Upper-Middle,1422003,Salaried,19,E,511,East,33
B000117,Upper-Middle,1783879,Salaried,25,D,573,East,41
B000118,Middle,706616,Salaried,24,A,843,South,31
B000119,Lower-Middle,388421,Salaried,26,C,721,Central,62
B000120,Middle,603731,Self-Employed,14,F,367,North,60
B000121,Middle,659943,Self-Employed,8,C,658,South,38
B000122,Middle,927185,Salaried,4,E,512,Central,34
B000123,Low,244388,Salaried,24,F,395,East,29
B000124,Lower-Middle,357042,Salaried,7,C,656,North,28
B000125,Low,251594,Salaried,25,E,511,North,24
B000126,Middle,665423,Salaried,9,C,705,Central,37
B000127,Lower-Middle,422008,Salaried,4,A,854,Central,60
B000128,Low,299710,Salaried,26,D,541,South,52
B000129,Low,197445,Unemployed,10,E,493,South,23
B000130,Middle,871699,Self-Employed,18,C,680,South,39
B000131,Low,150910,Self-Employed,12,B,734,Central,35
B000132,High,2458925,Salaried,27,D,619,North,54
B000133,Middle,722246,Salaried,5,E,504,North,44
B000134,Lower-Middle,551390,Salaried,9,D,555,South,51
B000135,Middle,668182,Freelancer,23,C,684,Central,23
B000136,Low,198317,Salaried,26,C,684,North,36
B000137,High,2158668,Salaried,17,D,564,South,36
B000138,Middle,790568,Unemployed,23,B,728,North,59
B000139,Upper-Middle,1217573,Salaried,18,E,483,South,54
B000140,Low,176723,Salaried,28,B,744,West,24
B000141,Middle,772611,Self-Employed,28,D,587,North,28
B000142,Middle,789156,Salaried,7,E,483,East,53
B000143,High,2479903,Freelancer,10,D,593,North,36
B000144,Middle,986738,Salaried,28,E,496,North,43
B000145,Middle,658239,Business Owner,8,B,779,East,37
B000146,Lower-Middle,514163,Salaried,19,C,685,South,35
B000147,Lower-Middle,458203,Business Owner,29,E,516,West,26
B000148,Middle,753881,Business Owner,22,F,378,North,38
B000149,Lower-Middle,502238,Business Owner,19,D,607,North,56
B000150,Low,173058,Freelancer,5,B,810,Central,46
B000151,Upper-Middle,1744068,Self-Employed,6,B,791,East,28
B000152,Upper-Middle,1666519,Salaried,6,E,452,Central,33
B000153,Low,261596,Salaried,2,D,622,North,52
B000154,Middle,983310,Salaried,29,B,780,South,47
B000155,Low,291110,Salaried,25,D,606,West,64
B000156,Middle,680776,Salaried,23,B,740,South,44
B000157,Lower-Middle,565972,Business Owner,23,B,723,South,62
B000158,Middle,916497,Business Owner,26,F,438,North,54
B000159,Middle,773510,Unemployed,21,D,568,South,59
B000160,Upper-Middle,1425031,Salaried,7,B,739,West,28
B000161,Low,234312,Business Owner,7,F,360,South,38
B000162,High,2939635,Business Owner,14,G,300,North,36
B000163,Lower-Middle,427345,Unemployed,5,F,400,West,25
B000164,Low,243367,Business Owner,15,E,513,West,43
B000165,Middle,929416,Salaried,21,G,318,East,23
B000166,Lower-Middle,585984,Salaried,7,B,756,South,53
B000167,Upper-Middle,1532806,Freelancer,6,F,434,West,32
B000168,Upper-Middle,1757291,Self-Employed,4,C,708,West,35
B000169,Lower-Middle,588758,Business Owner,16,A,827,East,31
B000170,High,3230777,Business Owner,5,A,855,South,34
B000171,Lower-Middle,384948,Business Owner,27,B,763,East,41
B000172,Middle,807437,Business Owner,9,E,482,North,60
B000173,Lower-Middle,571240,Freelancer,23,F,412,North,26
B000174,High,2079461,Freelancer,12,B,797,South,25
B000175,Low,261370,Salaried,25,E,439,East,34
B000176,Low,291923,Salaried,0,E,496,West,52
B000177,Lower-Middle,515323,Salaried,6,A,854,South,54
B000178,High,3885978,Salaried,14,E,484,West,56
B000179,Upper-Middle,1577829,Business Owner,16,A,869,South,50
B000180,Upper-Middle,1789097,Business Owner,15,C,663,East,32
B000181,Upper-Middle,1768759,Salaried,20,D,562,North,49
B000182,Upper-Middle,1502018,Salaried,14,F,420,South,40
B000183,Middle,840033,Salaried,23,B,728,North,51
B000184,Lower-Middle,569060,Business Owner,17,C,653,West,43
B000185,Upper-Middle,1616283,Self-Employed,27,D,559,West,61
B000186,Middle,839150,Salaried,2,E,532,North,54
B000187,Lower-Middle,514186,Salaried,20,F,404,South,64
B000188,Low,160584,Self-Employed,26,C,635,West,59
B000189,Upper-Middle,1764172,Self-Employed,1,E,496,West,42
B000190,Lower-Middle,427511,Business Owner,7,D,552,West,38
B000191,High,1997270,Freelancer,7,B,767,West,33
B000192,Lower-Middle,413657,Salaried,13,D,547,North,36
B000193,Low,227092,Salaried,15,C,632,West,29
B000194,Upper-Middle,1797355,Salaried,25,E,508,Central,36
B000195,Low,240005,Salaried,11,C,654,East,59
B000196,Low,156797,Salaried,21,C,701,Central,29
B000197,Middle,628896,Salaried,25,F,345,Central,59
B000198,Upper-Middle,1326310,Salaried,21,F,414,Central,23
B000199,Lower-Middle,559292,Business Owner,27,C,658,Central,28
B000200,Lower-Middle,408061,Salaried,24,E,508,North,60
B000201,Upper-Middle,1787535,Business Owner,11,G,300,South,44
B000202,High,1831437,Salaried,29,A,865,Central,34
B000203,Middle,818926,Salaried,28,D,573,North,29
B000204,Low,296505,Salaried,1,B,762,North,21
B000205,Low,222508,Salaried,28,E,523,South,30
B000206,Lower-Middle,452342,Salaried,29,B,761,South,27
B000207,Low,197913,Business Owner,25,E,474,West,51
B000208,Middle,920105,Freelancer,28,B,736,East,62
B000209,Low,289540,Salaried,24,C,682,West,32
B000210,Middle,770843,Salaried,4,E,518,South,23
B000211,Middle,965128,Salaried,0,A,867,East,64
B000212,Middle,655846,Business Owner,8,F,444,South,51
B000213,Lower-Middle,502472,Salaried,1,B,767,Central,38
B000214,Upper-Middle,1245995,Salaried,19,D,566,Central,55
B000215,Middle,642381,Freelancer,25,E,524,Central,51
B000216,Upper-Middle,1493641,Freelancer,26,B,726,North,53
B000217,Low,231511,Self-Employed,2,D,560,North,28
B000218,Low,235093,Salaried,16,D,582,East,35
B000219,High,3422642,Salaried,15,D,554,West,43
B000220,Lower-Middle,442706,Salaried,15,D,594,Central,49
B000221,Lower-Middle,414280,Self-Employed,27,C,659,West,45
B000222,Middle,896487,Business Owner,3,C,696,South,33
B000223,Middle,889387,Salaried,2,B,772,South,37
B000224,High,2959301,Freelancer,21,F,447,Central,39
B000225,Lower-Middle,485972,Salaried,18,C,626,West,24
B000226,High,2918911,Business Owner,14,C,682,Central,57
B000227,Low,243904,Salaried,5,A,853,South,49
B000228,Middle,759822,Salaried,3,E,493,South,47
B000229,Middle,925545,Salaried,18,D,570,West,54
B000230,Low,256032,Self-Employed,27,B,768,East,41
B000231,Low,256946,Salaried,28,F,351,Central,46
B000232,Lower-Middle,594306,Salaried,7,F,350,North,51
B000233,High,2909794,Business Owner,17,F,379,West,49
B000234,Middle,980196,Business Owner,15,D,530,Central,53
B000235,High,2672064,Self-Employed,28,C,680,East,24
B000236,Upper-Middle,1727909,Self-Employed,25,B,735,North,61
B000237,Middle,826390,Self-Employed,3,C,668,North,44
B000238,Upper-Middle,1456081,Self-Employed,20,D,587,East,54
B000239,Low,281177,Salaried,24,B,756,West,22
B000240,Low,293169,Salaried,7,C,686,West,42
B000241,Upper-Middle,1159652,Salaried,10,D,568,North,40
B000242,Upper-Middle,1103889,Salaried,29,E,488,West,30
B000243,Lower-Middle,533131,Salaried,11,A,837,Central,60
B000244,Middle,743283,Salaried,2,F,423,West,41
B000245,Middle,655269,Salaried,29,C,636,South,60
B000246,Upper-Middle,1184697,Business Owner,24,D,589,North,40
B000247,Middle,739407,Self-Employed,1,F,438,East,47
B000248,Lower-Middle,531895,Self-Employed,13,B,771,West,47
B000249,Lower-Middle,322116,Freelancer,22,F,384,Central,48
B000250,Lower-Middle,451991,Salaried,2,E,498,West,48
B000251,Middle,607012,Salaried,13,G,300,East,56
B000252,Upper-Middle,1558924,Salaried,7,C,697,East,30
B000253,Middle,985332,Self-Employed,3,B,771,North,52
B000254,Lower-Middle,407054,Salaried,2,A,853,West,56
B000255,Lower-Middle,576899,Freelancer,16,E,525,West,57
B000256,Upper-Middle,1707783,Salaried,6,B,761,North,39
B000257,Upper-Middle,1278608,Salaried,21,C,633,South,39
B000258,Low,181241,Self-Employed,26,G,311,North,55
B000259,Low,199520,Salaried,15,C,662,Central,43
B000260,Middle,966210,Business Owner,8,B,759,North,21
B000261,Low,213838,Self-Employed,6,E,502,East,54
B000262,Upper-Middle,1398675,Business Owner,18,C,687,South,54
B000263,Lower-Middle,343919,Self-Employed,21,D,552,Central,43
B000264,Low,184230,Salaried,5,B,760,South,45
B000265,High,3837721,Salaried,10,C,664,Central,44
B000266,Low,287150,Self-Employed,7,B,765,North,39
B000267,Lower-Middle,388908,Salaried,23,E,500,North,51
B000268,Low,255029,Salaried,10,C,668,East,27
B000269,Low,253005,Salaried,18,C,639,East,33
B000270,Low,213265,Self-Employed,28,G,307,West,60
B000271,Low,257070,Salaried,7,E,518,East,56
B000272,Low,284284,Unemployed,6,D,551,East,23
B000273,Low,266175,Salaried,10,F,433,South,28
B000274,Middle,820242,Salaried,19,B,717,Central,26
B000275,Middle,854103,Salaried,11,D,584,East,63
B000276,Lower-Middle,551332,Salaried,11,F,384,South,58
B000277,Lower-Middle,524921,Salaried,25,D,579,North,46
B000278,Middle,975608,Self-Employed,4,C,687,East,51
B000279,Upper-Middle,1671703,Salaried,17,E,513,East,48
B000280,Upper-Middle,1045821,Salaried,16,B,791,North,58
B000281,Low,257484,Salaried,12,B,720,Central,61
B000282,Lower-Middle,340169,Salaried,11,E,467,West,63
B000283,Lower-Middle,550122,Freelancer,19,A,835,South,36
B000284,Lower-Middle,330021,Salaried,26,A,830,West,35
B000285,Middle,715044,Business Owner,2,C,680,North,26
B000286,Lower-Middle,394408,Salaried,27,C,689,North,56
B000287,Low,289925,Salaried,0,C,623,West,39
B000288,Lower-Middle,596448,Business Owner,17,E,462,North,22
B000289,Middle,815500,Salaried,11,D,575,Central,57
B000290,Low,228308,Freelancer,8,E,489,North,61
B000291,Upper-Middle,1432246,Salaried,24,A,889,West,58
B000292,Low,246018,Salaried,15,C,638,East,49
B000293,High,1951461,Freelancer,6,G,300,North,59
B000294,Low,194470,Salaried,26,C,702,North,60
B000295,Upper-Middle,1489474,Unemployed,10,B,746,North,44
B000296,Upper-Middle,1187780,Freelancer,20,G,327,West,45
B000297,High,3140479,Salaried,4,C,657,Central,35
B000298,Upper-Middle,1720566,Salaried,2,C,662,South,48
B000299,Upper-Middle,1614759,Business Owner,17,B,773,South,64
B000300,Middle,813460,Salaried,1,D,572,Central,61
B000301,Upper-Middle,1223107,Business Owner,28,B,740,East,58
B000302,Low,211742,Salaried,4,D,596,South,34
B000303,Middle,634376,Salaried,15,E,466,East,54
B000304,Middle,658027,Salaried,16,D,598,South,36
B000305,Upper-Middle,1798863,Business Owner,25,A,840,South,21
B000306,Middle,966723,Business Owner,5,A,826,Central,58
B000307,Lower-Middle,485263,Self-Employed,27,E,510,West,34
B000308,Middle,851662,Salaried,7,F,388,North,63
B000309,Lower-Middle,384186,Salaried,28,B,754,East,45
B000310,Low,208722,Salaried,15,C,619,Central,50
B000311,Middle,682031,Salaried,8,D,549,East,46
B000312,Lower-Middle,585103,Salaried,16,E,518,North,39
B000313,Lower-Middle,544546,Self-Employed,22,F,403,East,60
B000314,Lower-Middle,388110,Salaried,24,D,607,East,25
B000315,Lower-Middle,408768,Salaried,8,B,756,South,28
B000316,Lower-Middle,303320,Self-Employed,13,E,491,Central,47
B000317,Lower-Middle,380363,Salaried,15,E,530,North,63
B000318,Middle,706126,Unemployed,23,C,679,North,57
B000319,Lower-Middle,346104,Salaried,20,D,620,North,52
B000320,High,3813861,Salaried,2,B,747,North,25
B000321,High,1850954,Freelancer,1,C,663,South,23
B000322,Middle,824259,Self-Employed,16,F,380,South,33
B000323,Lower-Middle,425190,Business Owner,24,A,863,Central,52
B000324,Middle,760129,Salaried,12,E,466,South,25
B000325,Upper-Middle,1120432,Salaried,8,A,891,South,36
B000326,Middle,917260,Self-Employed,27,C,628,East,35
B000327,Upper-Middle,1259287,Salaried,7,D,579,North,27
B000328,Middle,873748,Self-Employed,21,A,834,West,46
B000329,Middle,726335,Salaried,4,D,585,Central,31
B000330,Lower-Middle,572543,Salaried,20,C,650,North,26
B000331,Upper-Middle,1181931,Salaried,13,E,495,West,40
B000332,Lower-Middle,549675,Business Owner,27,G,319,East,41
B000333,Middle,897409,Salaried,17,C,683,Central,30
B000334,Upper-Middle,1696085,Unemployed,7,A,893,West,21
B000335,Low,298012,Salaried,15,E,488,Central,24
B000336,Middle,831104,Salaried,22,C,662,Central,57
B000337,Low,259489,Salaried,12,B,754,West,57
B000338,Middle,828213,Self-Employed,25,F,363,Central,50
B000339,Low,284147,Business Owner,25,B,783,West,32
B000340,High,3157265,Salaried,29,D,555,Central,49
B000341,Low,276924,Salaried,15,B,786,East,61
B000342,High,2382089,Business Owner,12,E,467,North,58
B000343,Upper-Middle,1035988,Salaried,10,D,538,West,52
B000344,Middle,639532,Self-Employed,19,D,519,North,27
B000345,Upper-Middle,1522072,Business Owner,16,D,601,East,40
B000346,Upper-Middle,1668293,Salaried,5,B,791,West,63
B000347,High,2332868,Self-Employed,27,A,859,Central,55
B000348,Lower-Middle,477081,Business Owner,16,E,464,South,23
B000349,Middle,810119,Salaried,12,F,370,Central,59
B000350,Low,248838,Salaried,13,E,478,South,40
B000351,Middle,692193,Salaried,9,E,512,West,27
B000352,Low,183314,Business Owner,4,C,662,Central,21
B000353,Middle,911821,Self-Employed,2,D,542,West,38
B000354,Middle,619400,Salaried,27,D,557,East,61
B000355,Middle,877596,Salaried,22,A,854,East,47
B000356,Middle,628613,Salaried,27,C,700,South,42
B000357,Upper-Middle,1082537,Salaried,21,B,775,North,43
B000358,Upper-Middle,1194289,Salaried,28,C,648,East,33
B000359,Middle,736585,Salaried,27,E,489,North,21
B000360,Middle,994712,Salaried,5,C,695,South,40
B000361,High,2804074,Self-Employed,15,E,488,Central,29
B000362,Low,214346,Self-Employed,0,G,300,North,62
B000363,Low,265626,Salaried,0,F,382,North,32
B000364,Low,190457,Self-Employed,22,E,408,Central,31
B000365,Middle,838795,Salaried,14,E,497,West,40
B000366,Lower-Middle,509949,Salaried,8,C,702,South,36
B000367,Upper-Middle,1684931,Unemployed,13,E,526,North,47
B000368,Middle,648959,Self-Employed,18,D,578,East,21
B000369,Lower-Middle,496449,Salaried,24,G,300,Central,63
B000370,Upper-Middle,1003817,Salaried,16,D,574,North,30
B000371,Upper-Middle,1397437,Self-Employed,14,C,673,Central,50
B000372,Lower-Middle,408192,Salaried,17,E,521,North,59
B000373,Lower-Middle,544418,Freelancer,4,E,499,Central,23
B000374,Lower-Middle,518159,Salaried,14,B,718,North,42
B000375,Low,253726,Salaried,9,D,600,South,47
B000376,Low,175430,Self-Employed,0,D,532,North,25
B000377,High,2482260,Self-Employed,20,D,584,East,50
B000378,Lower-Middle,386294,Salaried,8,F,442,West,57
B000379,Lower-Middle,358204,Freelancer,19,D,539,North,26
B000380,Middle,768511,Freelancer,27,F,397,North,58
B000381,Middle,770077,Salaried,0,C,668,North,41
B000382,High,2569776,Salaried,12,A,850,East,64
B000383,Upper-Middle,1635269,Salaried,8,C,690,East,33
B000384,Middle,876231,Self-Employed,9,D,563,West,23
B000385,Lower-Middle,538483,Self-Employed,29,E,507,Central,49
B000386,High,3578161,Salaried,0,D,573,South,40
B000387,Middle,688282,Freelancer,16,C,673,East,48
B000388,High,3881718,Salaried,11,C,635,North,59
B000389,Low,247573,Business Owner,2,G,337,South,58
B000390,Upper-Middle,1638622,Business Owner,6,B,764,South,26
B000391,Middle,971339,Salaried,4,B,775,North,23
B000392,Low,272288,Salaried,15,D,608,North,36
B000393,Middle,823845,Salaried,6,E,483,North,26
B000394,Middle,791956,Freelancer,20,C,664,South,60
B000395,Low,232191,Salaried,5,A,805,North,45
B000396,Middle,949790,Business Owner,1,D,584,South,25
B000397,Upper-Middle,1052926,Salaried,21,B,794,North,45
B000398,Lower-Middle,416084,Salaried,21,A,849,South,52
B000399,Middle,713725,Freelancer,7,C,649,Central,55
B000400,Lower-Middle,433955,Salaried,0,B,782,South,62
B000401,Lower-Middle,480647,Business Owner,12,C,634,North,48
B000402,High,3499429,Salaried,20,E,475,South,47
B000403,Upper-Middle,1006794,Salaried,1,A,833,East,23
B000404,Low,214738,Salaried,4,D,602,West,59
B000405,High,2438709,Salaried,17,D,586,West,55
B000406,Upper-Middle,1588975,Business Owner,10,A,835,North,56
B000407,Lower-Middle,382330,Salaried,26,E,477,Central,63
B000408,Upper-Middle,1187323,Salaried,3,A,854,East,56
B000409,Low,175930,Salaried,22,F,405,South,39
B000410,High,2907023,Self-Employed,16,D,584,Central,48
B000411,Middle,620838,Business Owner,8,C,653,North,59
B000412,Middle,879090,Self-Employed,23,F,427,West,24
B000413,Low,282640,Unemployed,7,C,710,Central,27
B000414,Upper-Middle,1156732,Salaried,16,C,705,South,38
B000415,Low,224256,Salaried,13,C,701,East,50
B000416,Lower-Middle,564072,Salaried,27,D,639,East,57
B000417,Low,277874,Salaried,3,E,473,Central,34
B000418,Upper-Middle,1625563,Self-Employed,0,D,564,Central,29
B000419,Lower-Middle,355978,Business Owner,19,F,365,East,29
B000420,High,2761444,Salaried,10,G,304,West,34
B000421,Middle,993306,Freelancer,29,B,729,Central,23
B000422,Low,186308,Salaried,11,F,433,East,43
B000423,Low,170002,Self-Employed,14,B,766,West,58
B000424,Low,211980,Salaried,9,G,302,East,39
B000425,Middle,660466,Self-Employed,16,B,733,East,42
B000426,Upper-Middle,1376623,Salaried,12,C,638,Central,56
B000427,Lower-Middle,485745,Freelancer,1,C,657,South,21
B000428,Upper-Middle,1316066,Freelancer,17,B,801,North,63
B000429,Low,187919,Salaried,13,E,519,West,29
B000430,Upper-Middle,1368322,Salaried,5,B,779,East,25
B000431,High,3539689,Self-Employed,13,C,616,East,47
B000432,Upper-Middle,1654106,Self-Employed,6,F,398,South,21
B000433,Middle,602471,Self-Employed,2,D,574,West,40
B000434,Upper-Middle,1035979,Self-Employed,4,D,563,East,55
B000435,Low,287591,Freelancer,23,G,311,West,51
B000436,Lower-Middle,368337,Self-Employed,8,A,828,North,24
B000437,Low,210948,Salaried,14,C,657,Central,53
B000438,Middle,644970,Freelancer,19,B,738,West,31
B000439,Upper-Middle,1267622,Salaried,18,B,744,East,29
B000440,Middle,904482,Salaried,15,B,678,North,36
B000441,Upper-Middle,1042391,Unemployed,9,D,582,Central,40
B000442,Low,217256,Salaried,8,C,686,East,34
B000443,Upper-Middle,1492629,Salaried,13,D,560,East,44
B000444,Lower-Middle,385959,Self-Employed,28,E,518,Central,49
B000445,Lower-Middle,546363,Business Owner,11,C,648,Central,24
B000446,Middle,601467,Salaried,19,D,550,South,33
B000447,High,2739715,Salaried,9,B,786,West,34
B000448,Middle,940794,Salaried,8,E,477,South,47
B000449,Low,167498,Salaried,19,C,676,North,32
B000450,Middle,676800,Salaried,1,E,453,East,51
B000451,Low,248279,Salaried,9,D,576,South,52
B000452,Upper-Middle,1251594,Freelancer,7,D,572,East,21
B000453,Middle,698788,Self-Employed,3,C,661,East,48
B000454,Low,228312,Business Owner,14,C,661,South,37
B000455,Low,244813,Freelancer,5,C,675,East,33
B000456,Lower-Middle,514524,Freelancer,6,D,583,West,23
B000457,High,2640681,Business Owner,18,D,593,West,42
B000458,Middle,835659,Salaried,9,E,440,West,54
B000459,Upper-Middle,1734338,Business Owner,21,A,888,North,27
B000460,Middle,980187,Self-Employed,29,F,395,North,23
B000461,Middle,853006,Salaried,13,F,387,West,27
B000462,Low,230688,Salaried,28,B,769,East,58
B000463,High,3433324,Salaried,8,B,755,West,30
B000464,Lower-Middle,572561,Salaried,15,D,583,South,58
B000465,Middle,690013,Business Owner,14,A,841,North,29
B000466,Middle,749053,Salaried,25,B,774,South,43
B000467,Middle,608882,Salaried,8,D,540,West,40
B000468,High,3928026,Salaried,8,D,586,Central,62
B000469,Low,272640,Freelancer,14,B,747,East,33
B000470,Middle,630620,Salaried,22,F,355,East,37
B000471,Lower-Middle,560706,Salaried,27,B,788,South,40
B000472,Middle,882955,Business Owner,26,B,751,North,34
B000473,Low,279409,Business Owner,0,B,785,North,28
B000474,Low,277669,Salaried,24,F,418,South,26
B000475,Lower-Middle,374252,Self-Employed,8,F,382,West,47
B000476,Lower-Middle,387507,Salaried,18,A,879,East,53
B000477,Lower-Middle,401444,Freelancer,22,E,484,South,28
B000478,Middle,878179,Self-Employed,24,A,833,East,39
B000479,Middle,863968,Self-Employed,7,A,825,South,52
B000480,Lower-Middle,446413,Salaried,0,A,830,North,64
B000481,Lower-Middle,463281,Self-Employed,26,E,499,South,26
B000482,Lower-Middle,435268,Salaried,11,C,652,North,59
B000483,Middle,729968,Salaried,22,D,591,East,37
B000484,Lower-Middle,544223,Self-Employed,23,A,837,West,43
B000485,Low,235699,Business Owner,19,F,424,North,23
B000486,Lower-Middle,529690,Salaried,12,G,300,North,40
B000487,Middle,663659,Freelancer,3,B,755,North,33
B000488,Lower-Middle,373988,Salaried,5,D,577,South,31
B000489,Middle,762182,Self-Employed,19,D,585,North,59
B000490,Middle,689749,Salaried,23,G,311,Central,27
